Country,Code,Year,suscide-rate
Albania,ALB,1987,2.4742997
Albania,ALB,1988,2.2345529
Albania,ALB,1989,2.3522725
Albania,ALB,1992,1.604659
Albania,ALB,1993,2.503264
Albania,ALB,1994,1.7961403
Albania,ALB,1995,2.898285
Albania,ALB,1996,2.9592226
Albania,ALB,1997,5.4761205
Albania,ALB,1998,4.954323
Albania,ALB,1999,4.4695582
Albania,ALB,2000,1.8802196
Albania,ALB,2001,4.0444255
Albania,ALB,2002,4.525415
Albania,ALB,2003,4.0825686
Albania,ALB,2004,4.722978
Albania,ALB,2005,0
Albania,ALB,2006,0
Albania,ALB,2007,4.055986
Albania,ALB,2008,5.3414583
Albania,ALB,2009,0
Albania,ALB,2010,3.0792544
Antigua and Barbuda,ATG,1961,2.3896923
Antigua and Barbuda,ATG,1962,0
Antigua and Barbuda,ATG,1963,0
Antigua and Barbuda,ATG,1964,0
Antigua and Barbuda,ATG,1966,0
Antigua and Barbuda,ATG,1969,0
Antigua and Barbuda,ATG,1970,3.0801945
Antigua and Barbuda,ATG,1971,0
Antigua and Barbuda,ATG,1972,0
Antigua and Barbuda,ATG,1973,0
Antigua and Barbuda,ATG,1974,0
Antigua and Barbuda,ATG,1975,0
Antigua and Barbuda,ATG,1976,0
Antigua and Barbuda,ATG,1977,0
Antigua and Barbuda,ATG,1978,0
Antigua and Barbuda,ATG,1983,0
Antigua and Barbuda,ATG,1985,0
Antigua and Barbuda,ATG,1986,0
Antigua and Barbuda,ATG,1987,0
Antigua and Barbuda,ATG,1988,0
Antigua and Barbuda,ATG,1989,0
Antigua and Barbuda,ATG,1990,2.7714138
Antigua and Barbuda,ATG,1991,0
Antigua and Barbuda,ATG,1992,0
Antigua and Barbuda,ATG,1993,1.2945787
Antigua and Barbuda,ATG,1994,0
Antigua and Barbuda,ATG,1995,0
Antigua and Barbuda,ATG,1998,0
Antigua and Barbuda,ATG,1999,0
Antigua and Barbuda,ATG,2000,3.057965
Antigua and Barbuda,ATG,2001,2.1208074
Antigua and Barbuda,ATG,2002,0
Antigua and Barbuda,ATG,2003,1.6309963
Antigua and Barbuda,ATG,2004,2.7405422
Antigua and Barbuda,ATG,2005,0
Antigua and Barbuda,ATG,2006,0
Antigua and Barbuda,ATG,2007,1.0814974
Antigua and Barbuda,ATG,2008,0
Antigua and Barbuda,ATG,2009,0
Antigua and Barbuda,ATG,2010,0
Antigua and Barbuda,ATG,2011,0
Antigua and Barbuda,ATG,2012,0
Antigua and Barbuda,ATG,2013,0
Antigua and Barbuda,ATG,2014,0
Antigua and Barbuda,ATG,2015,1.0208391
Antigua and Barbuda,ATG,2016,0
Antigua and Barbuda,ATG,2017,0
Antigua and Barbuda,ATG,2018,0
Antigua and Barbuda,ATG,2019,0
Antigua and Barbuda,ATG,2020,0
Antigua and Barbuda,ATG,2021,2.0457706
Argentina,ARG,1966,7.849922
Argentina,ARG,1967,9.915176
Argentina,ARG,1968,10.610072
Argentina,ARG,1969,10.32214
Argentina,ARG,1970,10.16785
Argentina,ARG,1977,7.7018094
Argentina,ARG,1978,7.7998333
Argentina,ARG,1979,6.7230816
Argentina,ARG,1980,7.4333134
Argentina,ARG,1981,8.182604
Argentina,ARG,1982,6.8337674
Argentina,ARG,1983,6.2621546
Argentina,ARG,1984,6.515525
Argentina,ARG,1985,6.803947
Argentina,ARG,1986,7.825076
Argentina,ARG,1987,7.7227077
Argentina,ARG,1988,7.6982183
Argentina,ARG,1989,7.251864
Argentina,ARG,1990,6.7853975
Argentina,ARG,1991,6.120378
Argentina,ARG,1992,6.785303
Argentina,ARG,1993,6.806522
Argentina,ARG,1994,6.715834
Argentina,ARG,1995,6.464944
Argentina,ARG,1996,6.474538
Argentina,ARG,1997,6.3354983
Argentina,ARG,1998,6.583326
Argentina,ARG,1999,6.728948
Argentina,ARG,2000,7.6082983
Argentina,ARG,2001,8.449685
Argentina,ARG,2002,8.42454
Argentina,ARG,2003,8.600743
Argentina,ARG,2004,8.077454
Argentina,ARG,2005,7.797755
Argentina,ARG,2006,7.862171
Argentina,ARG,2007,7.3574166
Argentina,ARG,2008,7.5701637
Argentina,ARG,2009,7.057609
Argentina,ARG,2010,7.1141973
Argentina,ARG,2011,6.95956
Argentina,ARG,2012,7.6489105
Argentina,ARG,2013,7.002997
Argentina,ARG,2014,7.50053
Argentina,ARG,2015,6.9765496
Argentina,ARG,2016,6.773013
Argentina,ARG,2017,7.1496124
Argentina,ARG,2018,7.2824826
Argentina,ARG,2019,7.1850753
Argentina,ARG,2020,6.144159
Argentina,ARG,2021,6.111435
Armenia,ARM,1981,3.4635673
Armenia,ARM,1982,2.5824122
Armenia,ARM,1985,2.624777
Armenia,ARM,1986,2.0787308
Armenia,ARM,1987,2.784013
Armenia,ARM,1988,1.9722228
Armenia,ARM,1989,2.606386
Armenia,ARM,1990,3.023655
Armenia,ARM,1991,2.2863357
Armenia,ARM,1992,2.4684644
Armenia,ARM,1993,2.9871838
Armenia,ARM,1994,3.2124379
Armenia,ARM,1995,3.5887327
Armenia,ARM,1996,2.4710114
Armenia,ARM,1997,2.0373147
Armenia,ARM,1998,1.7090969
Armenia,ARM,1999,1.6920947
Armenia,ARM,2000,1.5820289
Armenia,ARM,2001,1.5268492
Armenia,ARM,2002,2.1508024
Armenia,ARM,2003,1.8418856
Armenia,ARM,2006,2.389654
Armenia,ARM,2007,2.1003163
Armenia,ARM,2008,1.7436479
Armenia,ARM,2009,1.6083435
Armenia,ARM,2010,2.3139327
Armenia,ARM,2011,2.0316157
Armenia,ARM,2012,2.389512
Armenia,ARM,2013,1.9245224
Armenia,ARM,2014,1.5411811
Armenia,ARM,2015,2.0207553
Armenia,ARM,2016,1.8452411
Armenia,ARM,2017,1.323043
Armenia,ARM,2018,1.5902296
