Entity,Code,Year,"Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 15-19 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 20-24 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 25-29 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 30-34 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 35-39 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 40-44 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 45-49 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 50-54 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 55-59 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 60-64 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 65-69 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 70-74 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 75-79 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: 80-84 years","Death rate from self-inflicted injuries per 100,000 population - Sex: Both sexes - Age group: over 85 years"
Albania,ALB,1987,2.8994846,8.898015,2.4322445,2.4620435,2.7129679,4.9928675,3.5211267,4.1562757,1.0080645,0,0,0,3.2467532,0,10
Albania,ALB,1988,1.5787811,6.709158,1.7029973,2.0104544,2.6595745,1.397624,5.524862,2.4449878,0.9891197,2.5316455,1.5151515,7.2115383,3.1746032,0,19.417477
Albania,ALB,1989,1.5571473,3.9695666,5.0386295,1.9825535,2.098636,4.137931,5.4458814,3.2128515,1.9512196,3.7453184,1.4947683,2.3696682,6.2695923,0,0
Albania,ALB,1992,3.0737705,2.6585643,1.927525,2.366864,0.92635477,1.7740982,4.7425475,1.4892033,3.5211267,0,2.8169014,0,0,0,0
Albania,ALB,1993,4.5952635,6.105006,4.1254125,2.4048097,1.3525699,2.842524,2.7100272,3.671072,1.710864,4.2872453,2.7662518,1.9230769,2.9761906,0,0
Albania,ALB,1994,2.1253984,2.4742267,2.092926,1.9716089,0.43047783,1.0799136,4.0268455,1.4409221,3.3140016,2.0661156,2.7063599,7.3260074,11.869436,0,0
Albania,ALB,1995,3.180212,6.2060404,5.47599,2.6974952,3.697617,1.525941,1.3289037,5.641749,4.8076925,4.9652433,0,0,5.899705,4.5045047,0
Albania,ALB,1996,4.188482,8.578431,6.658344,3.042982,2.8282828,3.5335689,1.968504,2.7855153,0,1.9607843,1.305483,1.7241379,2.9069767,4.464286,20.408163
Albania,ALB,1997,7.233896,13.301088,11.494253,9.012392,3.990423,6.979063,3.238342,5.50585,3.1274433,3.875969,3.8709676,1.7035775,8.620689,0,20
Albania,ALB,1998,10.217983,11.562999,9.341998,4.8237476,3.9416633,5.9084196,4.4785666,6.1141305,3.8580246,4.784689,5.0955415,1.6835017,5.681818,0,10
Albania,ALB,1999,9.146341,6.3441715,6.0557127,6.2707486,5.877743,4.4052863,5.7251906,2.0270271,6.1396775,5.708849,5.0697083,3.3500838,11.299435,8.733624,10
Albania,ALB,2000,2.2058823,2.1561017,3.9525692,4.3982406,1.2722646,0.5293806,0,3.6549706,3.3167496,3.0864198,4.1265473,0,3.0769231,9.523809,0
Albania,ALB,2001,3.0478926,4.308265,7.041956,5.086799,7.7546606,4.183867,6.429252,6.2678895,4.9943814,1.7657082,3.424423,9.166043,5.107383,0,6.70466
Albania,ALB,2002,3.6419861,7.5948086,8.424954,5.547337,3.7225058,7.8130026,9.041285,6.0896807,6.753905,3.528955,4.391647,1.4933844,5.040323,8.085054,7.144388
Albania,ALB,2003,5.1934395,5.2237577,5.1813474,3.239631,4.705639,4.065463,7.5646644,5.3692355,6.8976817,9.258402,4.237602,2.9397066,14.304105,3.7693179,0
Albania,ALB,2004,5.0872464,8.694863,6.4217534,6.2404594,8.550419,6.750888,6.115647,7.130079,3.312026,3.335863,1.0148884,5.5687814,8.725623,7.249266,7.6540375
Albania,ALB,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2007,4.5212193,4.619329,6.5319986,2.9000301,2.6249337,5.534285,7.663386,6.3801403,6.2234206,8.115346,0.9285482,4.8739476,5.534953,11.125533,26.87594
Albania,ALB,2008,6.937241,3.8452518,7.5058975,9.467567,7.6141167,7.140234,7.5964394,6.6524377,9.494551,4.511414,3.5854502,5.8633833,7.15794,6.935534,5.201831
Albania,ALB,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2010,1.73628,4.311747,4.576799,3.600252,2.304028,5.2418594,4.3371406,4.6317024,7.6023946,4.0477962,4.5414085,5.4421177,4.9025216,3.0107787,0
Antigua and Barbuda,ATG,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1970,0,0,0,40.502228,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1990,0,0,0,0,0,0,0,51.599586,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1993,0,0,16.329197,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2000,0,0,0,0,14.9723015,0,0,0,43.725403,0,0,0,0,0,0
Antigua and Barbuda,ATG,2001,0,0,0,0,29.682398,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2003,0,0,0,0,0,0,0,0,0,0,0,73.800735,0,0,0
Antigua and Barbuda,ATG,2004,0,0,0,0,14.682132,0,0,0,0,45.433895,0,0,0,0,0
Antigua and Barbuda,ATG,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2007,0,0,0,0,0,0,17.911516,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
